[2025-07-25 19:31:01] Episode   87 | Reward:   294.22 | Makespan:   1.82 | LoadBalance: 1.011 | Success: 1.00 | Duration: 0.51s
[2025-07-25 19:31:01] Episode   88 | Reward:   390.53 | Makespan:   2.19 | LoadBalance: 1.043 | Success: 1.00 | Duration: 0.59s
[2025-07-25 19:31:02] Episode   89 | Reward:   360.30 | Makespan:   2.11 | LoadBalance: 1.060 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:31:02] Episode   90 | Reward:   306.27 | Makespan:   1.93 | LoadBalance: 1.050 | Success: 1.00 | Duration: 0.54s
[2025-07-25 19:31:03] Episode   91 | Reward:   367.38 | Makespan:   2.39 | LoadBalance: 1.067 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:31:04] Episode   92 | Reward:   391.62 | Makespan:   2.03 | LoadBalance: 1.077 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:31:04] Episode   93 | Reward:   380.03 | Makespan:   2.49 | LoadBalance: 1.039 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:31:05] Episode   94 | Reward:   413.04 | Makespan:   2.00 | LoadBalance: 1.056 | Success: 1.00 | Duration: 0.61s
[2025-07-25 19:31:05] Episode   95 | Reward:   388.70 | Makespan:   2.35 | LoadBalance: 1.077 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:31:06] Episode   96 | Reward:   335.80 | Makespan:   2.24 | LoadBalance: 1.064 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:31:07] Episode   97 | Reward:   358.75 | Makespan:   2.37 | LoadBalance: 1.050 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:31:07] Episode   98 | Reward:   385.69 | Makespan:   1.92 | LoadBalance: 1.049 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:31:08] Episode   99 | Reward:   351.53 | Makespan:   1.62 | LoadBalance: 1.059 | Success: 1.00 | Duration: 0.53s
[2025-07-25 19:31:08] Episode  100 | Reward:   333.25 | Makespan:   2.08 | LoadBalance: 1.064 | Success: 1.00 | Duration: 0.52s
[2025-07-25 19:31:09] Episode  101 | Reward:   341.25 | Makespan:   2.24 | LoadBalance: 1.045 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:31:10] Episode  102 | Reward:   355.48 | Makespan:   2.15 | LoadBalance: 1.064 | Success: 1.00 | Duration: 0.54s
[2025-07-25 19:31:10] Episode  103 | Reward:   373.19 | Makespan:   2.50 | LoadBalance: 1.033 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:31:11] Episode  104 | Reward:   402.54 | Makespan:   1.78 | LoadBalance: 1.068 | Success: 1.00 | Duration: 0.60s
[2025-07-25 19:31:11] Episode  105 | Reward:   307.59 | Makespan:   1.88 | LoadBalance: 1.017 | Success: 1.00 | Duration: 0.53s
[2025-07-25 19:31:12] Episode  106 | Reward:   430.26 | Makespan:   2.46 | LoadBalance: 1.080 | Success: 1.00 | Duration: 0.64s
[2025-07-25 19:31:13] Episode  107 | Reward:   366.12 | Makespan:   2.33 | LoadBalance: 1.039 | Success: 1.00 | Duration: 0.60s
