
================================================================================
Enhanced HD-DDPG Medical Workflow Scheduling Training Log
Training Start Time: 2025-09-10 14:02:28
Experiment Directory: optimized_model_result\hd_ddpg_enhanced_comm05
Training Mode: HIGH_PERFORMANCE_ENHANCED with Advanced Features
================================================================================
[2025-09-10 14:04:24] Ep  150 | R:  1934.47 | MS:   3.13 | SR: 0.00 | ST: 0.871 | LR: 0.000158 | T: 1.01s
[2025-09-10 14:04:24] === Evaluation Episode 150 ===
[2025-09-10 14:04:25] Ep  151 | R:  1884.48 | MS:   3.42 | SR: 0.43 | ST: 0.793 | LR: 0.000158 | T: 0.95s
[2025-09-10 14:04:25] Ep  152 | R:  1942.83 | MS:   2.10 | SR: 0.57 | ST: 0.790 | LR: 0.000158 | T: 0.82s
[2025-09-10 14:04:26] Ep  153 | R:  1463.35 | MS:   2.51 | SR: 0.43 | ST: 0.814 | LR: 0.000158 | T: 0.79s
[2025-09-10 14:04:27] Ep  154 | R:  1920.50 | MS:   2.03 | SR: 0.29 | ST: 0.793 | LR: 0.000158 | T: 0.85s
[2025-09-10 14:04:28] LR_UPDATE Ep  155 | Old: 0.000158 | New: 0.000157 | Change: -0.50%
[2025-09-10 14:04:28] Ep  155 | R:  1794.67 | MS:   2.74 | SR: 0.29 | ST: 0.790 | LR: 0.000157 | T: 0.91s
[2025-09-10 14:04:29] Ep  156 | R:  1727.56 | MS:   3.38 | SR: 0.29 | ST: 0.747 | LR: 0.000157 | T: 0.97s
[2025-09-10 14:04:30] Ep  157 | R:  2138.03 | MS:   2.25 | SR: 0.43 | ST: 0.784 | LR: 0.000157 | T: 0.89s
[2025-09-10 14:04:31] Ep  158 | R:  1734.58 | MS:   2.56 | SR: 0.29 | ST: 0.800 | LR: 0.000157 | T: 0.91s
[2025-09-10 14:04:31] Ep  159 | R:  2042.57 | MS:   1.65 | SR: 0.43 | ST: 0.807 | LR: 0.000157 | T: 0.82s
[2025-09-10 14:04:32] Ep  160 | R:  1992.21 | MS:   2.54 | SR: 0.57 | ST: 0.815 | LR: 0.000157 | T: 0.95s
[2025-09-10 14:04:34] Ep  161 | R:  2731.00 | MS:   2.77 | SR: 0.00 | ST: 0.807 | LR: 0.000157 | T: 1.09s
[2025-09-10 14:04:35] Ep  162 | R:  2089.28 | MS:   3.22 | SR: 0.00 | ST: 0.796 | LR: 0.000157 | T: 0.99s
[2025-09-10 14:04:35] Ep  163 | R:  1893.05 | MS:   2.95 | SR: 0.00 | ST: 0.790 | LR: 0.000157 | T: 0.92s
[2025-09-10 14:04:36] Ep  164 | R:  2002.81 | MS:   2.54 | SR: 0.14 | ST: 0.837 | LR: 0.000157 | T: 0.88s
[2025-09-10 14:04:37] Ep  165 | R:  2433.35 | MS:   2.03 | SR: 0.29 | ST: 0.839 | LR: 0.000157 | T: 0.95s
[2025-09-10 14:04:38] Ep  166 | R:  2498.20 | MS:   2.53 | SR: 0.57 | ST: 0.839 | LR: 0.000157 | T: 0.96s
[2025-09-10 14:04:39] Ep  167 | R:  1926.69 | MS:   2.75 | SR: 0.43 | ST: 0.931 | LR: 0.000157 | T: 0.90s
[2025-09-10 14:04:40] Ep  168 | R:  1466.70 | MS:   1.69 | SR: 0.43 | ST: 0.906 | LR: 0.000157 | T: 0.76s
[2025-09-10 14:04:41] Ep  169 | R:  1999.78 | MS:   2.14 | SR: 0.29 | ST: 0.886 | LR: 0.000157 | T: 0.92s
[2025-09-10 14:04:42] Ep  170 | R:  1918.54 | MS:   1.67 | SR: 0.43 | ST: 0.905 | LR: 0.000157 | T: 0.82s
