[2025-07-25 23:29:40] Episode  137 | Reward:   269.87 | Makespan:   2.30 | LoadBalance: 0.946 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:29:41] Episode  138 | Reward:   343.40 | Makespan:   2.33 | LoadBalance: 0.970 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:41] Episode  139 | Reward:   248.26 | Makespan:   2.01 | LoadBalance: 0.928 | Success: 1.00 | Duration: 0.63s
[2025-07-25 23:29:42] Episode  140 | Reward:   266.65 | Makespan:   2.49 | LoadBalance: 0.962 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:43] Episode  141 | Reward:   245.84 | Makespan:   2.47 | LoadBalance: 0.916 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:43] Episode  142 | Reward:   300.49 | Makespan:   2.43 | LoadBalance: 0.940 | Success: 1.00 | Duration: 0.64s
[2025-07-25 23:29:44] Episode  143 | Reward:   299.57 | Makespan:   1.93 | LoadBalance: 0.982 | Success: 1.00 | Duration: 0.56s
[2025-07-25 23:29:44] Episode  144 | Reward:   273.55 | Makespan:   1.99 | LoadBalance: 0.959 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:29:45] Episode  145 | Reward:   338.09 | Makespan:   2.15 | LoadBalance: 0.960 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:29:46] Episode  146 | Reward:   280.54 | Makespan:   2.56 | LoadBalance: 0.934 | Success: 1.00 | Duration: 0.65s
[2025-07-25 23:29:46] Episode  147 | Reward:   315.65 | Makespan:   1.93 | LoadBalance: 0.965 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:47] Episode  148 | Reward:   322.79 | Makespan:   2.27 | LoadBalance: 0.967 | Success: 1.00 | Duration: 0.65s
[2025-07-25 23:29:48] Episode  149 | Reward:   268.90 | Makespan:   2.29 | LoadBalance: 0.938 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:48] Episode  150 | Reward:   247.61 | Makespan:   2.03 | LoadBalance: 0.920 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:49] Episode  151 | Reward:   401.18 | Makespan:   2.09 | LoadBalance: 0.966 | Success: 1.00 | Duration: 0.65s
[2025-07-25 23:29:49] Episode  152 | Reward:   239.75 | Makespan:   1.63 | LoadBalance: 0.928 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:50] Episode  153 | Reward:   264.47 | Makespan:   2.18 | LoadBalance: 0.921 | Success: 1.00 | Duration: 0.56s
[2025-07-25 23:29:51] Episode  154 | Reward:   321.47 | Makespan:   1.84 | LoadBalance: 0.933 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:29:51] Episode  155 | Reward:   282.59 | Makespan:   1.72 | LoadBalance: 0.968 | Success: 1.00 | Duration: 0.55s
[2025-07-25 23:29:52] Episode  156 | Reward:   291.61 | Makespan:   2.13 | LoadBalance: 0.954 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:52] Episode  157 | Reward:   222.92 | Makespan:   1.88 | LoadBalance: 0.964 | Success: 1.00 | Duration: 0.51s
[2025-07-25 23:29:53] Episode  158 | Reward:   273.71 | Makespan:   2.01 | LoadBalance: 0.965 | Success: 1.00 | Duration: 0.55s
[2025-07-25 23:29:53] Episode  159 | Reward:   208.22 | Makespan:   2.29 | LoadBalance: 0.919 | Success: 1.00 | Duration: 0.54s
[2025-07-25 23:29:54] Episode  160 | Reward:   334.40 | Makespan:   1.91 | LoadBalance: 0.964 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:29:54] Episode  161 | Reward:   240.07 | Makespan:   2.20 | LoadBalance: 0.914 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:55] Episode  162 | Reward:   302.41 | Makespan:   2.74 | LoadBalance: 0.994 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:29:56] Episode  163 | Reward:   342.07 | Makespan:   2.35 | LoadBalance: 0.988 | Success: 1.00 | Duration: 0.65s
[2025-07-25 23:29:56] Episode  164 | Reward:   316.41 | Makespan:   2.13 | LoadBalance: 0.963 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:57] Episode  165 | Reward:   349.82 | Makespan:   2.45 | LoadBalance: 0.934 | Success: 1.00 | Duration: 0.66s
[2025-07-25 23:29:58] Episode  166 | Reward:   298.73 | Makespan:   1.88 | LoadBalance: 0.955 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:58] Episode  167 | Reward:   356.01 | Makespan:   2.46 | LoadBalance: 0.996 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:59] Episode  168 | Reward:   217.65 | Makespan:   1.81 | LoadBalance: 0.919 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:29:59] Episode  169 | Reward:   274.50 | Makespan:   2.09 | LoadBalance: 0.924 | Success: 1.00 | Duration: 0.61s
